Name,Voxel Count
Lingula (I),91.0
Central lobule,3839.0
Culmen,6635.0
Declive (VI),2572.0
Folium-tuber vermis (VII),323.0
Pyramus (VIII),551.0
Uvula (IX),1567.0
Nodulus (X),1276.0
Simple lobule,5218.0
Ansiform lobule,9044.0
Paramedian lobule,3243.0
Copula pyramidis,1750.0
Paraflocculus,5283.0
Flocculus,1348.0
Interposed nucleus,529.0
Dentate nucleus,250.0
Fastigial nucleus,337.0
Vestibulocerebellar nucleus,0.0
Lateral amygdalar nucleus,556.0
Basolateral amygdalar nucleus,1381.0
Basomedial amygdalar nucleus,1053.0
Claustrum,885.0
Posterior amygdalar nucleus,298.0
"Endopiriform nucleus, dorsal part",2009.0
"Endopiriform nucleus, ventral part",487.0
Induseum griseum,20.0
Field CA1,8275.0
Field CA2,595.0
Field CA3,5035.0
"Subiculum, dorsal part",1340.0
"Subiculum, ventral part",3823.0
Dentate gyrus,6177.0
Parasubiculum,1104.0
"Entorhinal area, lateral part",8409.0
"Entorhinal area, medial part, dorsal zone",3106.0
"Entorhinal area, medial part, ventral zone",231.0
Fasciola cinerea,68.0
Postsubiculum,789.0
Presubiculum,1309.0
Subiculum,0.0
Prosubiculum,0.0
Area prostriata,0.0
"Tuberomammillary nucleus, ventral part",31.0
Supraoptic nucleus,28.0
"Periventricular hypothalamic nucleus, anterior part",17.0
Paraventricular hypothalamic nucleus,283.0
"Paraventricular hypothalamic nucleus, descending division",48.0
Anterodorsal preoptic nucleus,37.0
Anterior hypothalamic nucleus,842.0
"Periventricular hypothalamic nucleus, intermediate part",112.0
"Periventricular hypothalamic nucleus, posterior part",149.0
"Periventricular hypothalamic nucleus, preoptic part",94.0
Retrochiasmatic area,234.0
Lateral hypothalamic area,3568.0
Lateral mammillary nucleus,53.0
Arcuate hypothalamic nucleus,265.0
Lateral preoptic area,1081.0
Anteroventral preoptic nucleus,67.0
Anteroventral periventricular nucleus,76.0
Suprachiasmatic nucleus,106.0
Accessory supraoptic group,2.0
Subfornical organ,4.0
Subparaventricular zone,156.0
Preparasubthalamic nucleus,14.0
Parasubthalamic nucleus,66.0
Median preoptic nucleus,167.0
Subthalamic nucleus,204.0
Medial mammillary nucleus,374.0
Medial preoptic nucleus,215.0
Medial preoptic area,903.0
Supramammillary nucleus,191.0
Tuberal nucleus,466.0
Ventrolateral preoptic nucleus,31.0
Ventromedial hypothalamic nucleus,456.0
Vascular organ of the lamina terminalis,16.0
Zona incerta,2144.0
Dorsomedial nucleus of the hypothalamus,484.0
Posterodorsal preoptic nucleus,2.0
Posterior hypothalamic nucleus,697.0
Dorsal premammillary nucleus,84.0
Ventral premammillary nucleus,88.0
Parastrial nucleus,31.0
"Tuberomammillary nucleus, dorsal part",17.0
Ventromedial preoptic nucleus,0.0
Perifornical nucleus,0.0
Posterior parietal association areas,3498.0
"Anterior cingulate area, dorsal part",2789.0
Infralimbic area,1764.0
"Anterior cingulate area, ventral part",2418.0
"Agranular insular area, dorsal part",2364.0
"Agranular insular area, posterior part",1348.0
"Agranular insular area, ventral part",1120.0
"Frontal pole, cerebral cortex",514.0
"Primary somatosensory area, barrel field",10306.0
"Primary somatosensory area, lower limb",3254.0
"Primary somatosensory area, mouth",2924.0
"Primary somatosensory area, nose",1358.0
"Primary somatosensory area, trunk",4799.0
"Primary somatosensory area, upper limb",5406.0
Supplemental somatosensory area,5729.0
Primary visual area,6227.0
Anteromedial visual area,1795.0
Anterolateral visual area,1981.0
Lateral visual area,880.0
Posterolateral visual area,679.0
posteromedial visual area,1265.0
Temporal association areas,3773.0
Visceral area,1793.0
"Orbital area, lateral part",1853.0
"Orbital area, medial part",1024.0
"Orbital area, ventrolateral part",1556.0
"Retrosplenial area, dorsal part",2738.0
"Retrosplenial area, ventral part",3997.0
"Retrosplenial area, lateral agranular part",937.0
Ectorhinal area,3390.0
Perirhinal area,1412.0
Prelimbic area,1790.0
Primary motor area,11760.0
Secondary motor area,10098.0
Primary auditory area,2689.0
Dorsal auditory area,2556.0
Ventral auditory area,2554.0
Posterior auditory area,191.0
Gustatory areas,2104.0
"Primary somatosensory area, unassigned",2958.0
Laterointermediate area,0.0
Postrhinal area,0.0
Anterior area,0.0
Rostrolateral visual area,0.0
Area postrema,31.0
Inferior olivary complex,567.0
Dorsal cochlear nucleus,564.0
Ventral cochlear nucleus,854.0
Inferior salivatory nucleus,58.0
Nucleus ambiguus,143.0
Intermediate reticular nucleus,2735.0
Nucleus prepositus,356.0
Nucleus of Roller,18.0
Medial vestibular nucleus,1178.0
Linear nucleus of the medulla,28.0
Nucleus raphe magnus,134.0
Lateral vestibular nucleus,494.0
Superior vestibular nucleus,360.0
Nucleus raphe obscurus,47.0
Spinal vestibular nucleus,513.0
Nucleus raphe pallidus,51.0
Lateral reticular nucleus,562.0
Magnocellular reticular nucleus,734.0
